subID	cycle	slidenum	onstimestamp
1244	1	1	2018-10-18 11:49:39.446896
1244	1	2	2018-10-18 11:49:45.860510
1244	1	3	2018-10-18 11:49:47.177014
1244	1	4	2018-10-18 11:49:48.045149
1244	1	5	2018-10-18 11:49:50.028783
1244	1	6	2018-10-18 11:49:50.428775
1244	1	7	2018-10-18 11:49:50.976814
1244	1	8	2018-10-18 11:49:51.559513
1244	1	9	2018-10-18 11:49:52.111891
1244	1	10	2018-10-18 11:49:52.645538
