subID	day	slidenum	onstimestamp
9999	1	1	2019-10-20 02:39:08.341093
9999	1	2	2019-10-20 02:39:20.250102
9999	1	3	2019-10-20 02:39:49.946233
9999	1	4	2019-10-20 02:40:08.435696
9999	1	5	2019-10-20 02:40:28.995951
9999	1	6	2019-10-20 02:40:42.742139
9999	1	7	2019-10-20 02:42:33.343977
9999	1	8	2019-10-20 02:43:29.463355
9999	1	9	2019-10-20 02:45:58.196685
9999	1	10	2019-10-20 02:46:44.511579
9999	1	11	2019-10-20 02:47:18.300189
9999	1	12	2019-10-20 02:48:07.738594
